total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6629804032,14474063872,21103867904,4195100,109,2022-05-05T05:42:35.660278+00:00,VM1
6629828608,14474039296,21103867904,4195100,109,2022-05-05T05:40:50.670652+00:00,VM1
6629828608,14474039296,21103867904,4195100,109,2022-05-05T05:41:05.672446+00:00,VM1
6629828608,14474039296,21103867904,4195100,109,2022-05-05T05:40:20.665554+00:00,VM1
6629828608,14474039296,21103867904,4195100,109,2022-05-05T05:40:35.671679+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:02:05.630228+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:02:20.631208+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:01:35.631799+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:01:50.631691+00:00,VM1
6629369856,14474498048,21103867904,4195100,109,2022-05-05T06:03:05.630222+00:00,VM1
6629361664,14474506240,21103867904,4195100,109,2022-05-05T06:03:20.637443+00:00,VM1
6629304320,14474563584,21103867904,4195100,109,2022-05-05T06:05:05.626356+00:00,VM1
6629304320,14474563584,21103867904,4195100,109,2022-05-05T06:05:20.642694+00:00,VM1
6629345280,14474522624,21103867904,4195100,109,2022-05-05T06:04:05.645678+00:00,VM1
6629345280,14474522624,21103867904,4195100,109,2022-05-05T06:04:20.630650+00:00,VM1
6629378048,14474489856,21103867904,4195100,109,2022-05-05T06:02:35.629972+00:00,VM1
6629378048,14474489856,21103867904,4195100,109,2022-05-05T06:02:50.636298+00:00,VM1
6629345280,14474522624,21103867904,4195100,109,2022-05-05T06:04:35.627422+00:00,VM1
6629312512,14474555392,21103867904,4195100,109,2022-05-05T06:04:50.634714+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:01:05.634768+00:00,VM1
6629394432,14474473472,21103867904,4195100,109,2022-05-05T06:01:20.648247+00:00,VM1
6629361664,14474506240,21103867904,4195100,109,2022-05-05T06:03:35.629115+00:00,VM1
