utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 05:26:35.691261+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:26:50.705029+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:27:05.698625+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:27:20.687062+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:27:35.683983+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:27:50.681612+00:00,6630131712,14473736192,21103867904,4195100,109
2022-05-05 05:28:05.682400+00:00,6630115328,14473752576,21103867904,4195100,109
2022-05-05 05:28:20.704617+00:00,6630107136,14473760768,21103867904,4195100,109
2022-05-05 05:28:35.682741+00:00,6630098944,14473768960,21103867904,4195100,109
2022-05-05 05:28:50.684818+00:00,6630098944,14473768960,21103867904,4195100,109
2022-05-05 05:29:05.683259+00:00,6630098944,14473768960,21103867904,4195100,109
2022-05-05 05:29:20.680463+00:00,6630098944,14473768960,21103867904,4195100,109
2022-05-05 05:29:35.696400+00:00,6630090752,14473777152,21103867904,4195100,109
2022-05-05 05:29:50.692762+00:00,6630057984,14473809920,21103867904,4195100,109
2022-05-05 05:30:05.679867+00:00,6630049792,14473818112,21103867904,4195100,109
2022-05-05 05:30:20.677619+00:00,6630049792,14473818112,21103867904,4195100,109
2022-05-05 05:30:35.676849+00:00,6630041600,14473826304,21103867904,4195100,109
2022-05-05 05:30:50.679456+00:00,6630041600,14473826304,21103867904,4195100,109
2022-05-05 05:31:05.683648+00:00,6630033408,14473834496,21103867904,4195100,109
2022-05-05 05:31:20.677545+00:00,6630033408,14473834496,21103867904,4195100,109
2022-05-05 05:31:35.682820+00:00,6630025216,14473842688,21103867904,4195100,109
2022-05-05 05:31:50.677613+00:00,6630025216,14473842688,21103867904,4195100,109
2022-05-05 05:32:05.677025+00:00,6630025216,14473842688,21103867904,4195100,109
2022-05-05 05:32:20.691713+00:00,6630025216,14473842688,21103867904,4195100,109
2022-05-05 05:32:35.680997+00:00,6630017024,14473850880,21103867904,4195100,109
2022-05-05 05:32:50.676772+00:00,6630017024,14473850880,21103867904,4195100,109
2022-05-05 05:33:05.682307+00:00,6629992448,14473875456,21103867904,4195100,109
2022-05-05 05:33:20.690882+00:00,6629992448,14473875456,21103867904,4195100,109
2022-05-05 05:33:35.674038+00:00,6629992448,14473875456,21103867904,4195100,109
2022-05-05 05:33:50.677594+00:00,6629992448,14473875456,21103867904,4195100,109
2022-05-05 05:34:05.674236+00:00,6629984256,14473883648,21103867904,4195100,109
2022-05-05 05:34:20.676773+00:00,6629984256,14473883648,21103867904,4195100,109
2022-05-05 05:34:35.678158+00:00,6629992448,14473875456,21103867904,4195100,109
2022-05-05 05:34:50.670400+00:00,6629951488,14473916416,21103867904,4195100,109
2022-05-05 05:35:05.693989+00:00,6629943296,14473924608,21103867904,4195100,109
2022-05-05 05:35:20.676180+00:00,6629943296,14473924608,21103867904,4195100,109
2022-05-05 05:35:35.672505+00:00,6629935104,14473932800,21103867904,4195100,109
2022-05-05 05:35:50.670339+00:00,6629935104,14473932800,21103867904,4195100,109
2022-05-05 05:36:05.671033+00:00,6629935104,14473932800,21103867904,4195100,109
2022-05-05 05:36:20.672246+00:00,6629935104,14473932800,21103867904,4195100,109
2022-05-05 05:36:35.681677+00:00,6629926912,14473940992,21103867904,4195100,109
2022-05-05 05:36:50.669956+00:00,6629926912,14473940992,21103867904,4195100,109
2022-05-05 05:37:05.668307+00:00,6629918720,14473949184,21103867904,4195100,109
2022-05-05 05:37:20.669204+00:00,6629918720,14473949184,21103867904,4195100,109
2022-05-05 05:37:35.673782+00:00,6629910528,14473957376,21103867904,4195100,109
2022-05-05 05:37:50.680418+00:00,6629902336,14473965568,21103867904,4195100,109
2022-05-05 05:38:05.667425+00:00,6629894144,14473973760,21103867904,4195100,109
2022-05-05 05:38:20.668119+00:00,6629894144,14473973760,21103867904,4195100,109
2022-05-05 05:38:35.666699+00:00,6629885952,14473981952,21103867904,4195100,109
2022-05-05 05:38:50.671520+00:00,6629885952,14473981952,21103867904,4195100,109
2022-05-05 05:39:05.668623+00:00,6629885952,14473981952,21103867904,4195100,109
2022-05-05 05:39:20.667662+00:00,6629885952,14473981952,21103867904,4195100,109
2022-05-05 05:39:35.664684+00:00,6629877760,14473990144,21103867904,4195100,109
2022-05-05 05:39:50.676409+00:00,6629844992,14474022912,21103867904,4195100,109
2022-05-05 05:40:05.664100+00:00,6629828608,14474039296,21103867904,4195100,109
2022-05-05 05:40:20.665554+00:00,6629828608,14474039296,21103867904,4195100,109
2022-05-05 05:40:35.671679+00:00,6629828608,14474039296,21103867904,4195100,109
2022-05-05 05:40:50.670652+00:00,6629828608,14474039296,21103867904,4195100,109
2022-05-05 05:41:05.672446+00:00,6629828608,14474039296,21103867904,4195100,109
2022-05-05 05:41:20.663088+00:00,6629820416,14474047488,21103867904,4195100,109
2022-05-05 05:41:35.659342+00:00,6629812224,14474055680,21103867904,4195100,109
2022-05-05 05:41:50.665743+00:00,6629812224,14474055680,21103867904,4195100,109
2022-05-05 05:42:05.663683+00:00,6629804032,14474063872,21103867904,4195100,109
