,0
486,12.616081
487,12.547858
488,12.473282
489,12.37879
490,12.261229
491,12.237095
492,12.058599
493,11.81797
494,11.728284
495,11.616781
496,11.48887
497,11.394372
498,11.348274
499,11.246295
500,11.184004
501,11.088784
502,11.080154
503,10.987754
504,10.927157
505,10.832113
506,10.809174
507,10.704996
508,10.653795
509,10.563041
510,10.540708
511,10.412937
512,10.370122
513,10.346484
514,10.198562
515,10.181011
516,10.057494
517,10.017547
518,9.945225
519,9.868156
520,9.759769
521,9.762155
522,9.682234
523,9.594206
524,9.472245
525,9.456347
526,9.451509
527,9.377446
528,9.29125
529,9.257466
530,9.198829
531,9.091033
532,9.057636
533,9.0229225
534,8.965696
535,8.841521
536,8.809699
537,8.768563
538,8.710402
539,8.672171
540,8.641114
541,8.611693
542,8.585708
543,8.610512
544,8.568594
545,8.549518
546,8.55354
547,31.480043
548,31.519287
549,31.4744
550,31.518162
551,31.44016
552,31.427132
553,31.376755
554,31.374126
555,31.338709
556,31.263386
557,31.192184
558,31.1281
559,31.049805
560,30.945473
561,30.918856
562,30.827267
563,30.778862
564,30.663403
565,30.58766
566,30.53251
567,30.494045
568,30.471294
569,30.40479
570,30.30125
571,30.260168
572,30.209312
573,30.216503
574,30.139765
575,30.143166
576,30.01877
577,30.067621
578,29.997637
579,30.019514
580,2.160818
581,2.1194117
582,2.1089072
583,2.0565035
584,2.0117943
585,2.0353112
586,1.9856304
587,1.9890212
588,1.9092582
589,1.9102472
590,1.8627253
591,1.8029908
592,1.765172
593,1.763191
594,1.6670398
595,1.5968676
596,1.5818472
597,1.5525473
598,1.3831629
599,1.3931804
600,1.3259083
601,1.2996098
602,1.1764414
603,1.1610689
604,1.0948925
605,1.0897822
606,0.9911243
607,0.9609098
608,0.9526168
609,0.91793895
610,0.84604925
611,0.77720433
612,0.71996915
613,0.65068895
614,0.68950707
615,0.57614744
616,0.5209152
617,0.47683507
618,0.44854942
619,0.44065553
620,0.27222934
621,0.2480969
622,0.23261297
623,0.2344529
624,0.21183892
625,0.120661095
626,0.0910416
627,0.04423378
628,0.0014281857
