in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1482119,71648281,15,0,215184,254738545,0,eth0,2022-05-05T07:48:39.434162+00:00,VM1
0,1482134,71649176,15,0,215196,254744020,0,eth0,2022-05-05T07:48:54.441877+00:00,VM1
0,1482032,71643148,15,0,215119,254709418,0,eth0,2022-05-05T07:47:09.441391+00:00,VM1
0,1482048,71644095,15,0,215131,254714951,0,eth0,2022-05-05T07:47:24.444808+00:00,VM1
0,1482090,71646572,15,0,215162,254728835,0,eth0,2022-05-05T07:48:09.435278+00:00,VM1
0,1482106,71647513,15,0,215175,254734352,0,eth0,2022-05-05T07:48:24.452675+00:00,VM1
0,1481973,71639678,15,0,215075,254689986,0,eth0,2022-05-05T07:46:09.441276+00:00,VM1
0,1481989,71640625,15,0,215087,254695484,0,eth0,2022-05-05T07:46:24.438253+00:00,VM1
0,1482148,71649990,15,0,215206,254748244,0,eth0,2022-05-05T07:49:09.428746+00:00,VM1
0,1482163,71650885,15,0,215218,254753674,0,eth0,2022-05-05T07:49:24.428538+00:00,VM1
0,1482176,71651653,15,0,215227,254757832,0,eth0,2022-05-05T07:49:39.445840+00:00,VM1
0,1482192,71652594,15,0,215240,254763379,0,eth0,2022-05-05T07:49:54.442186+00:00,VM1
0,1471553,71023262,15,0,207211,251234342,0,eth0,2022-05-05T04:47:54.722769+00:00,VM1
0,1471567,71024076,15,0,207221,251238574,0,eth0,2022-05-05T04:48:09.702960+00:00,VM1
0,1471523,71021501,15,0,207189,251224712,0,eth0,2022-05-05T04:47:24.719660+00:00,VM1
0,1471536,71022269,15,0,207198,251228811,0,eth0,2022-05-05T04:47:39.705545+00:00,VM1
0,1471494,71019792,15,0,207167,251215020,0,eth0,2022-05-05T04:46:54.707222+00:00,VM1
0,1471507,71020560,15,0,207176,251219184,0,eth0,2022-05-05T04:47:09.728232+00:00,VM1
0,1471435,71016328,15,0,207122,251195592,0,eth0,2022-05-05T04:45:54.748426+00:00,VM1
0,1471449,71017142,15,0,207132,251199784,0,eth0,2022-05-05T04:46:09.709021+00:00,VM1
0,1471850,71041076,15,0,207437,251331790,0,eth0,2022-05-05T04:52:54.697763+00:00,VM1
0,1471864,71041890,15,0,207447,251335979,0,eth0,2022-05-05T04:53:09.698972+00:00,VM1
0,1471821,71039367,15,0,207415,251322072,0,eth0,2022-05-05T04:52:24.689643+00:00,VM1
0,1471835,71040181,15,0,207425,251326298,0,eth0,2022-05-05T04:52:39.723134+00:00,VM1
0,1471405,71014567,15,0,207100,251185862,0,eth0,2022-05-05T04:45:24.713539+00:00,VM1
0,1471419,71015381,15,0,207110,251190100,0,eth0,2022-05-05T04:45:39.713189+00:00,VM1
